IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
140738711,VEHICLE THEFT,STOLEN TRUCK,Sunday,08/31/2014,23:00,CENTRAL,NONE,800 Block of POST ST,-122.415821891164,37.7872932910877,"(37.7872932910877, -122.415821891164)",14073871107025
140735604,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,23:00,MISSION,NONE,GUERRERO ST / CESAR CHAVEZ ST,-122.42249041028,37.7480144418715,"(37.7480144418715, -122.42249041028)",14073560407021
140738147,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,08/31/2014,23:00,INGLESIDE,NONE,1400 Block of DOLORES ST,-122.424497944857,37.7466488718366,"(37.7466488718366, -122.424497944857)",14073814707023
140736624,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,22:00,INGLESIDE,NONE,400 Block of DELTA ST,-122.40911287775,37.714150230756,"(37.714150230756, -122.40911287775)",14073662407021
140735375,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,22:00,CENTRAL,NONE,PINE ST / JONES ST,-122.413918209236,37.7904619656257,"(37.7904619656257, -122.413918209236)",14073537507021
140734775,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,19:00,TARAVAL,NONE,1600 Block of 41ST AV,-122.500306742828,37.7559697150676,"(37.7559697150676, -122.500306742828)",14073477507021
140735018,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,19:00,NORTHERN,NONE,1200 Block of LARKIN ST,-122.418728220008,37.7896115166626,"(37.7896115166626, -122.418728220008)",14073501807021
140734571,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,19:00,INGLESIDE,NONE,30TH ST / MISSION ST,-122.421970919029,37.7423752245255,"(37.7423752245255, -122.421970919029)",14073457107021
140736016,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,19:00,NORTHERN,NONE,BAY ST / DIVISADERO ST,-122.443225963544,37.8018383058644,"(37.8018383058644, -122.443225963544)",14073601607021
140736066,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,18:30,PARK,NONE,200 Block of STATES ST,-122.439088669509,37.7634139962541,"(37.7634139962541, -122.439088669509)",14073606607021
140735535,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,18:00,TARAVAL,NONE,2600 Block of SAN JOSE AV,-122.449918138147,37.7166111509064,"(37.7166111509064, -122.449918138147)",14073553507021
140736163,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,18:00,BAYVIEW,NONE,1500 Block of PALOU AV,-122.389979849085,37.7335216083743,"(37.7335216083743, -122.389979849085)",14073616307021
140756581,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,18:00,INGLESIDE,NONE,600 Block of HURON AV,-122.448431384674,37.7128793326315,"(37.7128793326315, -122.448431384674)",14075658107021
140735109,VEHICLE THEFT,STOLEN TRUCK,Sunday,08/31/2014,15:00,TARAVAL,NONE,1800 Block of 25TH AV,-122.482764149891,37.75301021474,"(37.75301021474, -122.482764149891)",14073510907025
140733307,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,14:10,TARAVAL,NONE,MORAGA ST / 47TH AV,-122.506603059488,37.7547817026097,"(37.7547817026097, -122.506603059488)",14073330707021
140733523,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Sunday,08/31/2014,12:01,CENTRAL,NONE,600 Block of TAYLOR ST,-122.41185703254,37.7883235449904,"(37.7883235449904, -122.41185703254)",14073352307020
140733523,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,12:01,CENTRAL,NONE,600 Block of TAYLOR ST,-122.41185703254,37.7883235449904,"(37.7883235449904, -122.41185703254)",14073352307021
140738040,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,11:00,PARK,NONE,HENRY ST / NOE ST,-122.433333156075,37.7666617833785,"(37.7666617833785, -122.433333156075)",14073804007021
140734327,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,10:30,INGLESIDE,NONE,200 Block of ATHENS ST,-122.426620759857,37.7239260565635,"(37.7239260565635, -122.426620759857)",14073432707021
