RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
30359,201538550,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,02/03/2015 09:36:00 AM,08/15/2014 12:01:00 AM,08/16/2014 12:00:00 AM,115XX BLOCK OF LAKE CITY WY NE,L,L1,700.2008,-122.299232335,47.712517105,"(47.712517105, -122.299232335)",8,2014
1084513,2014364905,X,69,VEH-RCVD-FOR OTHER AGENCY,X,VEHICLE THEFT,10/31/2014 03:22:00 PM,07/30/2014 12:00:00 PM,,133XX BLOCK OF LAKE CITY WY NE,L,L1,100.3003,-122.292378848,47.725586602,"(47.725586602, -122.292378848)",7,2014
1079668,2014361278,2404,4,VEH-THEFT-MTRCYCLE,2400,VEHICLE THEFT,10/28/2014 04:25:00 PM,07/30/2014 12:00:00 AM,08/24/2014 11:59:00 PM,32XX BLOCK OF 21 AV W,Q,Q1,5801.1007,-122.383361505,47.649392409,"(47.649392409, -122.383361505)",7,2014
464105,2014361278,2404,4,VEH-THEFT-MTRCYCLE,2400,VEHICLE THEFT,10/28/2014 04:25:00 PM,07/30/2014 12:00:00 AM,08/24/2014 11:59:00 PM,32XX BLOCK OF 21 AV W,Q,Q1,5801.1007,-122.383361505,47.649392409,"(47.649392409, -122.383361505)",7,2014
29110,2014338030,2404,7,VEH-THEFT-TRAILER,2400,VEHICLE THEFT,10/09/2014 12:33:00 PM,07/25/2014 11:00:00 AM,07/29/2014 01:00:00 PM,63XX BLOCK OF 35 AV SW,W,W3,10600.1014,-122.376422569,47.54559328,"(47.54559328, -122.376422569)",7,2014
1071647,2014338030,2404,7,VEH-THEFT-TRAILER,2400,VEHICLE THEFT,10/09/2014 12:33:00 PM,07/25/2014 11:00:00 AM,07/29/2014 01:00:00 PM,63XX BLOCK OF 35 AV SW,W,W3,10600.2000,-122.376422569,47.54559328,"(47.54559328, -122.376422569)",7,2014
1088775,2014326711,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,09/30/2014 07:48:00 AM,07/16/2014 12:00:00 AM,,16XX BLOCK OF 3 AV,M,M2,8100.2003,-122.33912054,47.611201035,"(47.611201035, -122.33912054)",7,2014
31086,2014326711,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,09/30/2014 07:48:00 AM,07/16/2014 12:00:00 AM,,16XX BLOCK OF 3 AV,M,M1,8100.2006,-122.33912054,47.611201035,"(47.611201035, -122.33912054)",7,2014
1077002,2014326711,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,09/30/2014 07:48:00 AM,07/16/2014 12:00:00 AM,,16XX BLOCK OF 3 AV,M,M2,8100.2003,-122.33912054,47.611201035,"(47.611201035, -122.33912054)",7,2014
1123945,2014325660,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,09/29/2014 10:21:00 AM,07/17/2014 12:00:00 AM,,16XX BLOCK OF 15 AV W,Q,Q2,5802.2010,-122.376139109,47.634160147,"(47.634160147, -122.376139109)",7,2014
31682,2014323440,2404,4,VEH-THEFT-MTRCYCLE,2400,VEHICLE THEFT,09/27/2014 10:27:00 AM,07/16/2014 12:00:00 AM,09/13/2014 11:59:00 PM,14XX BLOCK OF N NORTHLAKE WY,B,B3,5400.2040,-122.340457496,47.647755333,"(47.647755333, -122.340457496)",7,2014
1064347,2014323440,2404,4,VEH-THEFT-MTRCYCLE,2400,VEHICLE THEFT,09/27/2014 10:27:00 AM,07/16/2014 12:00:00 AM,09/13/2014 11:59:00 PM,14XX BLOCK OF N NORTHLAKE WY,J,J3,5400.2002,-122.340457496,47.647755333,"(47.647755333, -122.340457496)",7,2014
32633,2014317067,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,09/22/2014 08:03:00 AM,08/15/2014 03:00:00 PM,09/18/2014 05:00:00 PM,9XX BLOCK OF N 96 ST,N,N3,1300.3018,-122.345966048,47.698717665,"(47.698717665, -122.345966048)",8,2014
1062884,2014317067,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,09/22/2014 08:03:00 AM,08/15/2014 03:00:00 PM,09/18/2014 05:00:00 PM,9XX BLOCK OF N 96 ST,N,N2,1300.3014,-122.345966048,47.698717665,"(47.698717665, -122.345966048)",8,2014
1116793,2014302177,2404,4,VEH-THEFT-MTRCYCLE,2400,VEHICLE THEFT,09/09/2014 09:44:00 PM,08/21/2014 04:00:00 PM,09/01/2014 03:00:00 PM,45XX BLOCK OF 38 AV SW,W,W2,10500.1003,-122.380077812,47.561669578,"(47.561669578, -122.380077812)",8,2014
